INFO:root:FSLR 2022-03-02 1192300 1299500 2553900 1611100 3132200
INFO:root:FSLR 2022-08-19 3137200 2476100 2993700 1808400 1765200
INFO:root:FTNT 2022-11-10 9976900 16959800 9579800 6168100 7081000
INFO:root:FTNT 2024-02-14 13315800 25551100 8370900 7522400 4790800
INFO:root:FTV 2020-04-17 2773117 1696422 1943190 2497072 3225066
INFO:root:FTV 2022-02-09 2691000 2893500 8557500 5975600 3591700
INFO:root:GD 2020-04-21 1406700 1446600 1609100 1289500 2036600
INFO:root:GDDY 2022-11-10 1302600 1082600 3437600 2226200 1703000
INFO:root:GE 2022-03-09 10806289 7131107 7420184 13545059 11428423
INFO:root:GEN 2020-02-07 7236800 9619600 23063100 14612400 7566400
INFO:root:GL 2020-05-18 614900 612500 574200 821800 754400
INFO:root:GL 2022-06-15 267000 250000 363700 543500 418800
INFO:root:GM 2020-04-07 18477800 20303000 17467100 17920600 13835500
INFO:root:GM 2021-08-04 13374900 10549200 15439000 13185500 12397500
INFO:root:GM 2022-02-09 23169600 34371700 23751800 22794900 18046500
INFO:root:GNRC 2021-02-02 829800 486100 938800 574700 424200
INFO:root:GOOG 2023-12-11 24258400 24117100 19235100 16360600 38419400
INFO:root:GOOG 2024-01-31 14113600 19245000 21495100 19494500 20909300
INFO:root:GOOGL 2021-12-14 30618000 32240000 24270000 23270000 24458000
INFO:root:GOOGL 2023-12-11 31431200 36669900 27384800 23576200 56767100
INFO:root:GOOGL 2024-01-31 21636100 25233500 29149100 26115500 27784300
INFO:root:GPC 2020-05-18 690600 924600 970900 1010700 1157400
INFO:root:GPN 2020-04-17 2120800 1606700 2514400 2266400 1926300
INFO:root:GPN 2020-05-05 1545500 2153300 2357600 1938700 1115600
INFO:root:GS 2020-04-06 4186700 4152800 3588200 4689100 4446900
INFO:root:HAL 2020-06-11 24102100 22497000 27776900 36372000 23805800
INFO:root:HAL 2021-11-29 8167600 14475900 10262000 11722800 6717300
INFO:root:HAS 2020-10-26 636100 711900 548200 669400 1165900
INFO:root:HBAN 2020-11-09 8821400 10387800 9123200 15944300 7109700
INFO:root:HD 2020-04-06 7121700 6936700 7335400 7858200 6353900
INFO:root:HD 2020-04-21 4415600 5655400 5693900 7262800 6717600
INFO:root:HES 2020-02-12 2954000 3132200 3005700 3073100 2620100
INFO:root:HES 2020-06-11 2245000 1655300 6349800 4411400 2841400
INFO:root:HIG 2020-05-18 2099900 2879800 2899500 3783600 3599200
INFO:root:HIG 2020-06-09 3344100 3237200 5740500 3732800 4167900
INFO:root:HLT 2020-05-18 8488800 5532600 3176800 4944400 6036700
INFO:root:HLT 2020-11-24 4475400 2732800 1901600 3284000 2302700
INFO:root:HLT 2021-11-29 1313400 3014500 2180600 1405600 1066900
INFO:root:HON 2020-11-02 1987900 2323700 2009300 3233500 3113600
INFO:root:HPE 2020-06-11 11925600 13596000 16560200 17123900 13803600
INFO:root:HPE 2022-06-02 13173400 10757000 12225600 11996300 19470600
INFO:root:HPE 2024-06-05 17948100 14206500 31921300 33499300 22762900
